id,trigger,conditions,script,text,options,notes
hxmo_upgrade_main,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
$global.HXMO_upgrade_hasship == true
$global.HXMO_upgrade_needupdate == false",,,16:hxmo_upgrade_menu:威胁主宰火力系统升级选项,
hxmo_upgrade_back,DialogOptionSelected,$option == hxmo_upgrade_back,"$menuState = main 0
FireAll PopulateOptions",,,
hxmo_upgrade_menu,DialogOptionSelected,$option == hxmo_upgrade_menu,"SetShortcut hxmo_upgrade_back ""ESCAPE""","威胁主宰模块升级系统。您可以添加火力模块，航母模块以及顶部装甲模块，当前升级状态：
火力模块：$global.HXMO_upgrade_level
航母模块：$global.HXMO_upgrade_carrier_level
装甲模块：$global.HXMO_upgrade_armor_level","1:hxmo_upgrade_fix:修复D-插件
2:hxmo_upgrade_weapon:进行火力模块升级
3:hxmo_upgrade_carrier:进行航母模块升级
4:hxmo_upgrade_armor:进行装甲模块升级
5:hxmo_upgrade_back:返回",
,,,,,,
hxmo_upgrade_fix_t,DialogOptionSelected,"$option == hxmo_upgrade_fix
$global.HXMO_upgrade_canfix == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费200,000星币进行修复：随机移除一个D-插件。","1:hxmo_upgrade_fix_up:确定修复
2:hxmo_upgrade_menu:返回",
hxmo_upgrade_fix_f,DialogOptionSelected,"$option == hxmo_upgrade_fix
$global.HXMO_upgrade_canfix == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费200,000星币进行修复：随机移除一个D-插件。没有足够的星币或没有D-插件，无法修复。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_fix_up,DialogOptionSelected,$option == hxmo_upgrade_fix_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_fix = true
$global.HXMO_upgrade_needupdate = true",修复完成：随机移除一个D-插件。,2:hxmo_upgrade_menu:确认,
,,,,,,
,,,,,,
hxmo_upgrade_weapon_0_t,DialogOptionSelected,"$option == hxmo_upgrade_weapon
$global.HXMO_upgrade_level == 0
$global.HXMO_upgrade_canupgrade == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费500,000星币,2点故事点来进行一级火力升级：添加左右火力模块。","1:hxmo_upgrade_weapon_0_up:确定升级
2:hxmo_upgrade_menu:返回",
