id,type,text1,text2,text3,text4,text5,notes
voidblaster,WEAPON,“时空剪切效应似乎在接近，但并不完全是，局部光速下传播。仍在处理这个问题，排除了传感器校准错误。无法推测理论范围；限制有效因素的是在正常空间内聚焦的能力。对未加固目标的损害非常显著。我稍后得写正式报告，我们有这么多新数据进来……不确定这些机器人怎么能独立完成这个。Zunya会喜欢这个。”,- 仅提交给特别采购主管的密封全息报告,,,,
ziggurat,SHIP,"一块位于舰桥位置的标牌表明了该舰是来自 ""通灵塔计划"" 的产物。显然，她生于一处不为英仙座的人们所知的 速子科技 原型实验室。除了先进的武装配备之外，该舰还有一些特殊的组件无法进行常规化生产 —— 虽然能够通过逆向工程还原无损的样本并生产备件，但是其内部的工作原理无法在任何残存的 人之领 技术数据中找到参照或相似的结构，徒留一个或许永远无法解开的谜团。

通灵塔-级 曾经是有人类船员的，或者说，至少看起来是一艘需要人类船员的战舰。然而一切关于他们存在的痕迹或者记录都完全无处可寻。即使是最干净整洁的霸主战舰也会在维护通道的后盖上留有某人姓名的首字母，或一两句关于长官的闲话。但在它们本应出现的地方，却什么都没有。",不明舰船,目标信号传来的读数显示该舰搭载了相位功能，但从理论层面上讲如此巨大的舰体由于现实稳定性问题不可能搭载相位设备。传感器检测到了主力舰级别的武器配备，与此同时大量异常数据显示该舰还搭载了至少一种未知的系统。战术分析设备无法识别该系统的作用。建议：谨慎接触目标。,,,
drone_station_lt,SHIP_SYSTEM,环绕着空间站的防御无人机。,,环绕着空间站的防御无人机。,,,
threat_strike,SHIP_SYSTEM,将重型信标炸弹传送到目标区域（最大1500码），爆炸后产生一队奇点舰载机,,,,,
threatmine_strike,SHIP_SYSTEM,将重型信标炸弹传送到目标区域（最大1250码），爆炸后产生一艘驱逐以下的威胁单位,,,,,
Threatshell,SHIP_SYSTEM,"加快舰船上的时间流速。因为没有船员，流速已被加快到十倍
机械没有血肉的羸弱",,,,,
RingShellStats,SHIP_SYSTEM,"加快舰船上的时间流速。因为没有船员，流速已被加快到六倍，并增加百分之二十五减伤
由于本舰的需求，把小部分能量分配给了·获得···力场
",,,,,
IntegratedSystemStats,SHIP_SYSTEM,"在装置运作过程中舰船获得火力、防御力与机动性的提升
机械没有血肉的羸弱",,,,,
AutonomousFabricationSystem,SHIP_SYSTEM,"根据舰船碎片数量来建造不同大小的威胁舰船
机械没有血肉的羸弱",,,,,
ReleaseDeviceStats,SHIP_SYSTEM,"单位会自动给无人舰载机增加传送核心，能够迅速的传送舰载机
机械没有血肉的羸弱",,,,,
drone_station_threat,SHIP_SYSTEM,召唤监视者无人机进行防御,,,,,
drone_threat,SHIP_SYSTEM,召唤监视者无人机进行防御,,,,,
CustomDecorativeSystemScript,SHIP_SYSTEM,强制开启护盾并大幅提升展开速度。护盾硬度提升50%，光束武器幅能消耗降低25%。激活期间强制激光主炮武器持续开火,,,,,
,,,,,,,
HXMO,SHIP,"“错误、错误‘人之领官方否定在平定波江座叛乱出现的——人之领信息安全违规阈值警告”
  // 重试？
  正在处理。错误 // 人之领信息安全违规阈值警告
   // 重试？
  正在处理。错误 // 人之领信息安全违规阈值警告
  “在第297届会议中提出的······建议，波江座叛乱的情况不可能只出现在——人之领信息安全违规阈值警告“
“此 TriPad 未获授权提供所请求产品 ID 的额外描述。请根据人之领信息安全标准提升您的数据权限等级。”",不明舰船,,,,
wxbb,SHIP,"“档案库匹配项为哨兵-class 护卫舰，置信度 85.14%。 正在查询数据库······‘用于骚扰或支援的优秀护卫舰，哨兵-级“
“// 数据流重置中······”
""——Mairaath，愿逝去的同胞能指引我们走向成功。探索舰长——致命访问错误//“
“疑似Mairaath失踪探索舰队。请通告Mairaath防卫舰队，Garuda舰长已提供十万星币作为信息提供者的奖励······已失效”
",不明舰船,,,,
wxmds,SHIP,"“档案库匹配项为美杜莎-class 驱逐舰，置信度 79.99%。 正在查询数据库······‘美杜莎级是一种令人畏惧”
“// 数据流重置中……”
“我舰已摧毁敌方引擎······通告！猎物，你们和你们所有的财产从现在······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息····已在速子科技公共数据库上发现疑似id。”
",不明舰船,,,,
wxqy,SHIP,"“档案库匹配项为企业-calss 巡洋舰，置信度 73.63%。正在查询数据库······‘坚固可靠且物美价廉，常被民用公司“
“// 数据流重置中······”
 ""舰长！他们马上就要突破舰桥了！······炸毁数据库，他们什么也别想得到！······致命访问错误//“
“疑似Mairaath失踪探索旗舰。请通告Mairaath防卫舰队，Garuda舰长已提供二十万星币作为信息提供者的奖励······已失效”
",不明舰船,,,,
wxhh,SHIP,"""档案库匹配项为辉煌-class 无人巡洋舰，置信度69.51 %。 正在查询数据库······‘由速子科技公司开发出的AI舰队的“
“// 数据流重置中······”
”ERROR······EROOR······正······枢纽······信息，未知······正篡改······，你不是···欧······致命访问错误//“致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “
",不明舰船,,,,
wxml,SHIP,"“档案库匹配项为莫拉-class 航母，置信度82.34 %。 正在查询数据库······‘莫拉-级航母在人之领“
“// 数据流重置中······”
“我舰动力炉已失去反应，舰船剩余人员正在有序撤出······基于霸主条例······废除······这艘舰船，愿人之领······致命访问错误//“
“霸主公共数据库已拒绝你的搜索请求······请前往Chicomoztoc数据库提供信息“
",不明舰船,,,,
